pollinator,day,hour,min,plot,plant,number,sex,shade,note,is.pollinator
Aglais_urticae,14,16,50,39,Bet_off,1,NA,0,NA,T
Aglais_urticae,14,9,28,36,Cen_jac,1,NA,0,NA,T
Aglais_urticae,14,15,58,9,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,13,39,41,Tri_pra,1,NA,0,NA,T
Aglais_urticae,15,13,34,9,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,17,37,9,Suc_pra,1,NA,0,NA,T
Aglais_urticae,16,9,15,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,16,12,18,69,Leo_his,1,NA,0,NA,T
Aglais_urticae,15,9,12,9,Suc_pra,1,NA,0,NA,T
Aglais_urticae,15,17,25,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,13,8,10,Suc_pra,2,NA,0,NA,T
Aglais_urticae,14,16,43,35,Tri_pra,1,NA,0,NA,T
Aglais_urticae,14,10,46,57,Cen_jac,1,NA,0,NA,T
Aglais_urticae,14,17,10,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,17,38,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,15,23,56,Tri_pra,1,NA,0,NA,T
Aglais_urticae,15,13,36,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,15,15,22,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,11,23,69,Leo_his,1,NA,0,NA,T
Aglais_urticae,16,12,10,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,14,16,19,20,Suc_pra,1,NA,0,NA,T
Aglais_urticae,15,11,36,10,Suc_pra,5,NA,0,NA,T
Aglais_urticae,14,15,59,10,Suc_pra,4,NA,0,NA,T
Aglais_urticae,15,15,57,10,Suc_pra,1,NA,0,NA,T
Aglais_urticae,15,10,37,76,Lat_pra,1,NA,0,NA,T
Aglais_urticae,16,11,5,9,Suc_pra,1,NA,0,NA,T
Aglais_urticae,15,10,30,35,Sel_car,1,NA,0,NA,T
Aglais_urticae,15,15,21,9,Suc_pra,1,NA,0,NA,T
